,,,,,,,,"Master BG","Master BG","Layout","Layout","Layout","Layout","Layout","Layout","Layout",,"Import BG","Import BG","Animation","Animation","FX","FX",,,,
"33610","ep025seq01sh10","ip","http:///file_proxy/thumbnail/373079","117","add","chars_greg, chars_plu, props_book_001, props_candies_001, sets_home_016","no_c",,,"113072","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113071","wtg","113073","wtg","Shot","ep025seq01","LEX&PLU",
"33611","ep025seq01sh11","ip","http:///file_proxy/thumbnail/373075","271","add","chars_trisha, props_mat_001, sets_home_090","no_c",,,"113075","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113074","wtg","113076","wtg","Shot","ep025seq01","LEX&PLU",
"33612","ep025seq01sh12","ip","http:///file_proxy/thumbnail/373071","51","add","chars_trisha, sets_home_086","no_c",,,"113078","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113077","wtg","113079","wtg","Shot","ep025seq01","LEX&PLU",
"33613","ep025seq01sh13","ip","http:///file_proxy/thumbnail/373067","68","add","chars_crispy, chars_lex, chars_plu, chars_trisha, props_candies_001, props_mat_001, sets_home_021b","no_c",,,"113081","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113080","wtg","113082","wtg","Shot","ep025seq01","LEX&PLU",
"33614","ep025seq01sh14","ip","http:///file_proxy/thumbnail/373063","87","Отражаем фон","chars_crispy, chars_lex, chars_plu, props_candies_001, sets_home_010","no_c",,,"113084","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113083","wtg","113085","wtg","Shot","ep025seq01","LEX&PLU",
"33615","ep025seq01sh15","ip","http:///file_proxy/thumbnail/373059","60","add","chars_plu, props_receiver_002, sets_home_pc_002b","no_c",,,"113087","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113086","wtg","113088","wtg","Shot","ep025seq01","LEX&PLU",
"33616","ep025seq01sh16","ip","http:///file_proxy/thumbnail/373055","159","add","chars_plu, props_Huski-Kailu_001, props_receiver_002, sets_home_014","no_c",,,"113090","hld","Layout","Roman Grechanovskiy","","","","ip",,,"113089","wtg","113091","wtg","Shot","ep025seq01","LEX&PLU",
"33617","ep025seq01sh17","ip","http:///file_proxy/thumbnail/373051","266","add","chars_lex, chars_plu, props_Huski-Kailu_001, props_candies_001, sets_home_007b","no_c",,,"113093","hld","Layout","Roman Grechanovskiy","","","","ip",,,"113092","wtg","113094","wtg","Shot","ep025seq01","LEX&PLU",
"33618","ep025seq01sh18","ip","http:///file_proxy/thumbnail/373047","45","Отражаем фон","props_Huski-Kailu_001, sets_home_010","no_c",,,"113096","hld","Layout","Roman Grechanovskiy","","","","ip",,,"113095","wtg","113097","wtg","Shot","ep025seq01","LEX&PLU",
"33619","ep025seq01sh19","ip","http:///file_proxy/thumbnail/373043","94","add","chars_crispy, chars_plu, props_candies_001, sets_home_085","no_c",,,"113099","hld","Layout","Roman Grechanovskiy","","","","ip",,,"113098","wtg","113100","wtg","Shot","ep025seq01","LEX&PLU",
"33620","ep025seq02sh01","ip","http:///file_proxy/thumbnail/403496","69","add","chars_lex, chars_plu, props_transformer_car_001, sets_space_066","no_c",,,"113102","rev","Layout","Alexandr Frolov","","","","ip",,,"113101","wtg","113103","wtg","Shot","ep025seq02","LEX&PLU",
"33621","ep025seq02sh02","","http:///file_proxy/thumbnail/373035","35","add","","no_c",,,"113105","wtg","Layout","","","","","na",,,"113104","wtg","113106","wtg","Shot","ep025seq02","LEX&PLU",
"33622","ep025seq02sh03","ip","http:///file_proxy/thumbnail/373031","55","add","props_transformer_car_001, sets_space_067","no_c",,,"113108","wtg","Layout","","","","","ip",,,"113107","wtg","113109","wtg","Shot","ep025seq02","LEX&PLU",
"33623","ep025seq02sh04","ip","http:///file_proxy/thumbnail/402571","69","add","chars_lex, chars_plu, props_meteorite_001, props_transformer_car_001, sets_space_068","no_c",,,"113111","rev","Layout","Alexandr Frolov","","","","ip",,,"113110","wtg","113112","wtg","Shot","ep025seq02","LEX&PLU",
"33624","ep025seq02sh05","ip","http:///file_proxy/thumbnail/403484","65","add","chars_plu, props_transformer_car_001, sets_space_069","no_c",,,"113114","rev","Layout","Alexandr Frolov","","","","ip",,,"113113","wtg","113115","wtg","Shot","ep025seq02","LEX&PLU",
"33625","ep025seq02sh06","","http:///file_proxy/thumbnail/373018","90","add","chars_plu, props_transformer_car_001, sets_x925_landscape_001","no_c",,,"113117","wtg","Layout","","","","","ip",,,"113116","wtg","113118","wtg","Shot","ep025seq02","LEX&PLU",
"33626","ep025seq02sh07","ip","http:///file_proxy/thumbnail/402487","104","add","chars_lex, chars_plu, sets_car_019","no_c",,,"113120","rev","Layout","Alexandr Frolov","","","","ip",,,"113119","wtg","113121","wtg","Shot","ep025seq02","LEX&PLU",
"33627","ep025seq02sh08","","http:///file_proxy/thumbnail/373010","76","add","sets_x925_landscape_002","no_c",,,"113123","wtg","Layout","","","","","ip",,,"113122","wtg","113124","wtg","Shot","ep025seq02","LEX&PLU",
"33628","ep025seq02sh09","ip","http:///file_proxy/thumbnail/402483","85","add","chars_lex, chars_plu, sets_car_019","no_c",,,"113126","rev","Layout","Alexandr Frolov","","","","ip",,,"113125","wtg","113127","wtg","Shot","ep025seq02","LEX&PLU",
"33629","ep025seq02sh10","ip","http:///file_proxy/thumbnail/402610","48","add","chars_lex, chars_plu, props_transformer_car_001, sets_x925_landscape_003","no_c",,,"113129","ip","Layout","Alexandr Frolov","","","","ip",,,"113128","wtg","113130","wtg","Shot","ep025seq02","LEX&PLU",
"33630","ep025seq02sh11","","http:///file_proxy/thumbnail/372998","39","add","chars_lex, chars_plu, sets_car_018, sets_x925_landscape_004","no_c",,,"113132","wtg","Layout","","","","","ip",,,"113131","wtg","113133","wtg","Shot","ep025seq02","LEX&PLU",
"33631","ep025seq02sh12","ip","http:///file_proxy/thumbnail/372994","93","add","chars_lex, chars_plu, props_transformer_car_001, sets_x925_landscape_003","no_c",,,"113135","ip","Layout","Alexandr Frolov","","","","ip",,,"113134","wtg","113136","wtg","Shot","ep025seq02","LEX&PLU",
"33632","ep025seq02sh13","","http:///file_proxy/thumbnail/372990","93","add","chars_lex, chars_plu, sets_x925_landscape_008","no_c",,,"113138","wtg","Layout","","","","","ip",,,"113137","wtg","113139","wtg","Shot","ep025seq02","LEX&PLU",
"33633","ep025seq02sh14","","http:///file_proxy/thumbnail/372986","115","add","chars_lex, chars_plu, props_transformer_car_001, sets_x925_landscape_006","no_c",,,"113141","wtg","Layout","","","","","ip",,,"113140","wtg","113142","wtg","Shot","ep025seq02","LEX&PLU",
"33634","ep025seq02sh15","ip","http:///file_proxy/thumbnail/403480","90","add","sets_x925_landscape_007","no_c",,,"113144","rev","Layout","Alexandr Frolov","","","","fin",,,"113143","wtg","113145","wtg","Shot","ep025seq02","LEX&PLU",
"33635","ep025seq03sh01","","http:///file_proxy/thumbnail/372978","51","add","chars_lex, chars_mark, chars_plu, sets_x925_cave_001","no_c",,,"113147","wtg","Layout","","","","","ip",,,"113146","wtg","113148","wtg","Shot","ep025seq03","LEX&PLU",
"33636","ep025seq03sh02","","http:///file_proxy/thumbnail/372974","68","add","chars_mark, props_notebook_003, props_plants_001, sets_x925_cave_002, sets_x925_cave_002b","no_c",,,"113150","wtg","Layout","","","","","ip",,,"113149","wtg","113151","wtg","Shot","ep025seq03","LEX&PLU",
"33637","ep025seq03sh03","","http:///file_proxy/thumbnail/372970","186","add","chars_lex, chars_mark, chars_plu, sets_x925_cave_003","no_c",,,"113153","wtg","Layout","","","","","ip",,,"113152","wtg","113154","wtg","Shot","ep025seq03","LEX&PLU",
"33638","ep025seq03sh04","","http:///file_proxy/thumbnail/372966","271","add","chars_mark, sets_x925_cave_003","no_c",,,"113156","wtg","Layout","","","","","ip",,,"113155","wtg","113157","wtg","Shot","ep025seq03","LEX&PLU",
"33639","ep025seq03sh05","","http:///file_proxy/thumbnail/372962","159","add","chars_lex, chars_mark, chars_plu, props_notebook_003, props_plants_001, sets_x925_cave_004","no_c",,,"113159","wtg","Layout","","","","","ip",,,"113158","wtg","113160","wtg","Shot","ep025seq03","LEX&PLU",
"33640","ep025seq03sh06","","http:///file_proxy/thumbnail/372957","140","add","chars_mark, props_notebook_003, props_plants_001, sets_x925_cave_005","no_c",,,"113162","wtg","Layout","","","","","ip",,,"113161","wtg","113163","wtg","Shot","ep025seq03","LEX&PLU",
"33641","ep025seq03sh07","","http:///file_proxy/thumbnail/372953","72","add","chars_mark, props_plants_001, sets_x925_cave_002, sets_x925_cave_002b","no_c",,,"113165","wtg","Layout","","","","","ip",,,"113164","wtg","113166","wtg","Shot","ep025seq03","LEX&PLU",
"33642","ep025seq03sh08","","http:///file_proxy/thumbnail/372949","124","add","chars_lex, chars_plu, sets_x925_cave_004","no_c",,,"113168","wtg","Layout","","","","","ip",,,"113167","wtg","113169","wtg","Shot","ep025seq03","LEX&PLU",
"33643","ep025seq03sh09","","http:///file_proxy/thumbnail/372945","123","add","chars_lex, chars_mark, chars_plu, sets_x925_landscape_007","no_c",,,"113171","wtg","Layout","","","","","ip",,,"113170","wtg","113172","wtg","Shot","ep025seq03","LEX&PLU",
"33644","ep025seq03sh10","","http:///file_proxy/thumbnail/372941","118","add","chars_mark, sets_x925_landscape_009","no_c",,,"113174","wtg","Layout","","","","","ip",,,"113173","wtg","113175","wtg","Shot","ep025seq03","LEX&PLU",
"33645","ep025seq03sh11","","http:///file_proxy/thumbnail/372936","68","add","chars_lex, chars_plu, sets_x925_cave_011, sets_x925_cave_013","no_c",,,"113177","wtg","Layout","","","","","ip",,,"113176","wtg","113178","wtg","Shot","ep025seq03","LEX&PLU",
"33646","ep025seq03sh12","","http:///file_proxy/thumbnail/372931","65","add","chars_mark, sets_x925_landscape_009","no_c",,,"113180","wtg","Layout","","","","","ip",,,"113179","wtg","113181","wtg","Shot","ep025seq03","LEX&PLU",
"33647","ep025seq03sh13","","http:///file_proxy/thumbnail/372927","38","add","sets_x925_landscape_001","no_c",,,"113183","wtg","Layout","","","","","ip",,,"113182","wtg","113184","wtg","Shot","ep025seq03","LEX&PLU",
"33648","ep025seq04sh01","ip","http:///file_proxy/thumbnail/372923","79","add","chars_lex, chars_mark, chars_plu, props_transformer_car_001, sets_x925_landscape_003","no_c",,,"113186","rdy","Layout","","","","","ip",,,"113185","wtg","113187","wtg","Shot","ep025seq04","LEX&PLU",
"33649","ep025seq04sh02","","http:///file_proxy/thumbnail/372919","56","add","chars_lex, chars_plu, sets_x925_landscape_013","no_c",,,"113189","wtg","Layout","","","","","ip",,,"113188","wtg","113190","wtg","Shot","ep025seq04","LEX&PLU",
"33650","ep025seq04sh03","","http:///file_proxy/thumbnail/372915","67","add","chars_lex, chars_mark, chars_plu, sets_x925_landscape_010","no_c",,,"113192","wtg","Layout","","","","","ip",,,"113191","wtg","113193","wtg","Shot","ep025seq04","LEX&PLU",
"33651","ep025seq04sh04","","http:///file_proxy/thumbnail/372911","66","add","chars_lex, sets_x925_landscape_013","no_c",,,"113195","wtg","Layout","","","","","ip",,,"113194","wtg","113196","wtg","Shot","ep025seq04","LEX&PLU",
"33652","ep025seq04sh05","","http:///file_proxy/thumbnail/372907","87","add","chars_lex, chars_mark, chars_plu, sets_x925_landscape_011","no_c",,,"113198","wtg","Layout","","","","","ip",,,"113197","wtg","113199","wtg","Shot","ep025seq04","LEX&PLU",
"33653","ep025seq04sh06","","http:///file_proxy/thumbnail/372903","77","add","chars_lex, sets_car_019, sets_x925_landscape_012","no_c",,,"113201","wtg","Layout","","","","","ip",,,"113200","wtg","113202","wtg","Shot","ep025seq04","LEX&PLU",
"33654","ep025seq04sh07","ip","http:///file_proxy/thumbnail/372898","34","add","chars_lex, sets_car_011","no_c",,,"113204","rdy","Layout","","","","","fin",,,"113203","wtg","113205","wtg","Shot","ep025seq04","LEX&PLU",
"33655","ep025seq04sh08","","http:///file_proxy/thumbnail/372894","42","add","chars_plu, props_sand_001, props_transformer_car_001, sets_x925_landscape_011","no_c",,,"113207","wtg","Layout","","","","","ip",,,"113206","wtg","113208","wtg","Shot","ep025seq04","LEX&PLU",
"33656","ep025seq04sh09","","http:///file_proxy/thumbnail/372889","53","add","chars_plu, props_sand_001, sets_x925_landscape_012","no_c",,,"113210","wtg","Layout","","","","","ip",,,"113209","wtg","113211","wtg","Shot","ep025seq04","LEX&PLU",
"33657","ep025seq04sh10","","http:///file_proxy/thumbnail/372885","97","add","chars_lex, sets_x925_landscape_015b","no_c",,,"113213","wtg","Layout","","","","","ip",,,"113212","wtg","113214","wtg","Shot","ep025seq04","LEX&PLU",
"33658","ep025seq04sh11","","http:///file_proxy/thumbnail/372881","151","add","chars_lex, chars_plu, props_transformer_car_001, sets_x925_landscape_011","no_c",,,"113216","wtg","Layout","","","","","ip",,,"113215","wtg","113217","wtg","Shot","ep025seq04","LEX&PLU",
"33659","ep025seq04sh12","","http:///file_proxy/thumbnail/372877","53","add","chars_lex, chars_mark, props_sand_001, sets_x925_landscape_014","no_c",,,"113219","wtg","Layout","","","","","ip",,,"113218","wtg","113220","wtg","Shot","ep025seq04","LEX&PLU",
"33660","ep025seq04sh13","","http:///file_proxy/thumbnail/372873","87","add","chars_mark, sets_x925_landscape_014","no_c",,,"113222","wtg","Layout","","","","","ip",,,"113221","wtg","113223","wtg","Shot","ep025seq04","LEX&PLU",
"33661","ep025seq04sh14","","http:///file_proxy/thumbnail/372869","78","add","chars_lex, chars_plu, sets_x925_landscape_015","no_c",,,"113225","wtg","Layout","","","","","ip",,,"113224","wtg","113226","wtg","Shot","ep025seq04","LEX&PLU",
"33662","ep025seq04sh15","","http:///file_proxy/thumbnail/372865","192","add","chars_lex, chars_plu, sets_car_018, sets_x925_landscape_004","no_c",,,"113228","wtg","Layout","","","","","ip",,,"113227","wtg","113229","wtg","Shot","ep025seq04","LEX&PLU",
"33663","ep025seq04sh16","","http:///file_proxy/thumbnail/372861","54","add","chars_lex, sets_car_023","no_c",,,"113231","wtg","Layout","","","","","fin",,,"113230","wtg","113232","wtg","Shot","ep025seq04","LEX&PLU",
"33664","ep025seq04sh17","","http:///file_proxy/thumbnail/372857","86","add","chars_lex, props_radioset_001, sets_car_006, sets_x925_landscape_005","no_c",,,"113234","wtg","Layout","","","","","ip",,,"113233","wtg","113235","wtg","Shot","ep025seq04","LEX&PLU",
"33665","ep025seq04sh18","","http:///file_proxy/thumbnail/372845","227","add","chars_lex, chars_mark, chars_plu, props_radioset_001, sets_car_019, sets_x925_landscape_012","no_c",,,"113237","wtg","Layout","","","","","ip",,,"113236","wtg","113238","wtg","Shot","ep025seq04","LEX&PLU",
"33666","ep025seq04sh19","","http:///file_proxy/thumbnail/372840","55","add","chars_mark, sets_x925_mountain_001","no_c",,,"113240","wtg","Layout","","","","","fin",,,"113239","wtg","113241","wtg","Shot","ep025seq04","LEX&PLU",
"33667","ep025seq04sh20","","http:///file_proxy/thumbnail/372836","45","add","chars_lex, props_cosmobracelet_001, sets_x925_landscape_012","no_c",,,"113243","wtg","Layout","","","","","ip",,,"113242","wtg","113244","wtg","Shot","ep025seq04","LEX&PLU",
"33668","ep025seq04sh21","","http:///file_proxy/thumbnail/372832","43","add","chars_lex, props_cosmobracelet_001, sets_x925_landscape_016","no_c",,,"113246","wtg","Layout","","","","","fin",,,"113245","wtg","113247","wtg","Shot","ep025seq04","LEX&PLU",
"33669","ep025seq04sh22","","http:///file_proxy/thumbnail/372828","126","add","chars_lex, chars_mark, chars_plu, props_cosmobracelet_001, props_radioset_001, sets_x925_landscape_012","no_c",,,"113249","wtg","Layout","","","","","ip",,,"113248","wtg","113250","wtg","Shot","ep025seq04","LEX&PLU",
"33670","ep025seq04sh23","","http:///file_proxy/thumbnail/372824","65","add","chars_lex, props_sand_001, sets_x925_landscape_011b","no_c",,,"113252","wtg","Layout","","","","","ip",,,"113251","wtg","113253","wtg","Shot","ep025seq04","LEX&PLU",
"33671","ep025seq04sh24","","http:///file_proxy/thumbnail/372820","47","add","chars_lex, chars_mark, chars_plu, props_radioset_001, props_sand_001, sets_x925_landscape_015","no_c",,,"113255","wtg","Layout","","","","","ip",,,"113254","wtg","113256","wtg","Shot","ep025seq04","LEX&PLU",
"33672","ep025seq05sh01","ip","http:///file_proxy/thumbnail/372816","108","add","chars_lex, chars_mark, chars_plu, props_radioset_001, props_stick_002, sets_x925_mountain_002","no_c",,,"113258","rdy","Layout","Marina Vasileva","","","","ip",,,"113257","wtg","113259","wtg","Shot","ep025seq05","LEX&PLU",
"33673","ep025seq05sh02","ip","http:///file_proxy/thumbnail/372811","71","add","chars_lex, chars_mark, chars_plu, props_radioset_001, props_stick_002, sets_x925_mountain_003","no_c",,,"113261","rdy","Layout","Marina Vasileva","","","","ip",,,"113260","wtg","113262","wtg","Shot","ep025seq05","LEX&PLU",
"33674","ep025seq05sh03","ip","http:///file_proxy/thumbnail/372807","52","add","chars_lex, props_radioset_001","no_c",,,"113264","hld","Layout","Marina Vasileva","","","","fin",,,"113263","wtg","113265","wtg","Shot","ep025seq05","LEX&PLU",
"33675","ep025seq05sh04","ip","http:///file_proxy/thumbnail/372803","68","add","chars_lex, chars_plu, props_radioset_001, sets_x925_mountain_003","no_c",,,"113267","rdy","Layout","Marina Vasileva","","","","ip",,,"113266","wtg","113268","wtg","Shot","ep025seq05","LEX&PLU",
"33676","ep025seq05sh05","ip","http:///file_proxy/thumbnail/372799","46","add","chars_mark, sets_x925_mountain_004","no_c",,,"113270","rdy","Layout","Marina Vasileva","","","","fin",,,"113269","wtg","113271","wtg","Shot","ep025seq05","LEX&PLU",
"33677","ep025seq05sh06","ip","http:///file_proxy/thumbnail/372793","142","add","chars_lex, chars_mark, props_radioset_001, props_stick_002, sets_x925_mountain_004","no_c",,,"113273","rdy","Layout","Marina Vasileva","","","","fin",,,"113272","wtg","113274","wtg","Shot","ep025seq05","LEX&PLU",
"33678","ep025seq05sh07","ip","http:///file_proxy/thumbnail/372789","109","add","chars_lex, sets_x925_mountain_005","no_c",,,"113276","rdy","Layout","Lisa Kotsaga","","","","fin",,,"113275","wtg","113277","wtg","Shot","ep025seq05","LEX&PLU",
"33679","ep025seq05sh08","ip","http:///file_proxy/thumbnail/372785","155","add","chars_lex, chars_mark, chars_plu, props_flask_001, props_radioset_001, props_stick_002, sets_x925_mountain_006","no_c",,,"113279","rdy","Layout","Lisa Kotsaga","","","","ip",,,"113278","wtg","113280","wtg","Shot","ep025seq05","LEX&PLU",
"33680","ep025seq05sh09","ip","http:///file_proxy/thumbnail/372781","164","add","chars_lex, chars_plu, props_radioset_001, sets_x925_mountain_005","no_c",,,"113282","rdy","Layout","Lisa Kotsaga","","","","ip",,,"113281","wtg","113283","wtg","Shot","ep025seq05","LEX&PLU",
"33681","ep025seq05sh10","ip","http:///file_proxy/thumbnail/372776","134","add","chars_lex, chars_mark, chars_plu, props_flask_001, props_radioset_001, props_stick_002, props_tumbleweed_001, sets_x925_mountain_006","no_c",,,"113285","rdy","Layout","Lisa Kotsaga","","","","ip",,,"113284","wtg","113286","wtg","Shot","ep025seq05","LEX&PLU",
"33682","ep025seq05sh11","ip","http:///file_proxy/thumbnail/372772","58","add","chars_lex, chars_mark, chars_plu, props_radioset_001, props_stick_002, props_tumbleweed_001, sets_x925_mountain_007","no_c",,,"113288","rdy","Layout","Lisa Kotsaga","","","","ip",,,"113287","wtg","113289","wtg","Shot","ep025seq05","LEX&PLU",
"33683","ep025seq05sh12","ip","http:///file_proxy/thumbnail/372768","83","add","chars_lex, chars_mark, chars_plu, props_radioset_001, props_stick_002, sets_x925_mountain_008","no_c",,,"113291","rdy","Layout","Mariya Merenkova","","","","ip",,,"113290","wtg","113292","wtg","Shot","ep025seq05","LEX&PLU",
"33684","ep025seq05sh13","ip","http:///file_proxy/thumbnail/372764","146","add","chars_lex, chars_mark, chars_plu, props_radioset_001, props_stick_002, sets_x925_mountain_009","no_c",,,"113294","rdy","Layout","Mariya Merenkova","","","","ip",,,"113293","wtg","113295","wtg","Shot","ep025seq05","LEX&PLU",
"33685","ep025seq05sh14","ip","http:///file_proxy/thumbnail/372760","42","add","chars_lex, props_thorn_002, sets_x925_mountain_009","no_c",,,"113297","hld","Layout","Mariya Merenkova","","","","ip",,,"113296","wtg","113298","wtg","Shot","ep025seq05","LEX&PLU",
"33686","ep025seq05sh15","ip","http:///file_proxy/thumbnail/372756","43","add","chars_lex, chars_plu, props_radioset_001, props_thorn_002, sets_x925_mountain_009","no_c",,,"113300","rdy","Layout","Mariya Merenkova","","","","ip",,,"113299","wtg","113301","wtg","Shot","ep025seq05","LEX&PLU",
"33687","ep025seq05sh16","ip","http:///file_proxy/thumbnail/372751","37","add","props_stones_001, sets_x925_mountain_010","no_c",,,"113303","rdy","Layout","Mariya Merenkova","","","","ip",,,"113302","wtg","113304","wtg","Shot","ep025seq05","LEX&PLU",
"33688","ep025seq05sh17","ip","http:///file_proxy/thumbnail/372747","64","add","chars_lex, chars_plu, props_radioset_001, props_stones_001, sets_x925_mountain_009","no_c",,,"113306","rdy","Layout","Mariya Merenkova","","","","ip",,,"113305","wtg","113307","wtg","Shot","ep025seq05","LEX&PLU",
"33689","ep025seq05sh18","ip","http:///file_proxy/thumbnail/372743","137","add","chars_lex, chars_plu, props_radioset_001, sets_x925_mountain_011","no_c",,,"113309","rdy","Layout","Mariya Merenkova","","","","ip",,,"113308","wtg","113310","wtg","Shot","ep025seq05","LEX&PLU",
"33690","ep025seq05sh19","ip","http:///file_proxy/thumbnail/372739","38","add","chars_lex, props_stones_001, sets_x925_mountain_011","no_c",,,"113312","rdy","Layout","Mariya Merenkova","","","","ip",,,"113311","wtg","113313","wtg","Shot","ep025seq05","LEX&PLU",
"33691","ep025seq05sh20","ip","http:///file_proxy/thumbnail/372735","108","add","chars_lex, chars_mark, chars_plu, props_radioset_001, props_stick_002, sets_x925_mountain_009","no_c",,,"113315","rdy","Layout","Mariya Merenkova","","","","ip",,,"113314","wtg","113316","wtg","Shot","ep025seq05","LEX&PLU",
"33692","ep025seq05sh21","ip","http:///file_proxy/thumbnail/372731","59","add","chars_lex, chars_mark, props_stick_002","no_c",,,"113318","rdy","Layout","Mariya Merenkova","","","","fin",,,"113317","wtg","113319","wtg","Shot","ep025seq05","LEX&PLU",
"33693","ep025seq06sh01","ip","http:///file_proxy/thumbnail/402577","69","add","chars_lex, chars_mark, chars_plu, props_radioset_001, props_stick_002, sets_x925_cave_006","no_c",,,"113321","rev","Layout","Maria Polishko","","","","ip",,,"113320","wtg","113322","wtg","Shot","ep025seq06","LEX&PLU",
"33694","ep025seq06sh02","ip","http:///file_proxy/thumbnail/402602","49","add","chars_mark, props_stick_002, sets_x925_cave_007","no_c",,,"113324","rev","Layout","Maria Polishko","","","","fin",,,"113323","wtg","113325","wtg","Shot","ep025seq06","LEX&PLU",
"33695","ep025seq06sh03","ip","http:///file_proxy/thumbnail/402691","38","add","chars_mark, sets_x925_cave_007b","no_c",,,"113327","rev","Layout","Maria Polishko","","","","fin",,,"113326","wtg","113328","wtg","Shot","ep025seq06","LEX&PLU",
"33696","ep025seq06sh04","ip","http:///file_proxy/thumbnail/402796","42","add","chars_lex, chars_mark, chars_plu, props_stick_002, sets_x925_cave_008","no_c",,,"113330","rev","Layout","Maria Polishko","","","","ip",,,"113329","wtg","113331","wtg","Shot","ep025seq06","LEX&PLU",
"33697","ep025seq06sh05","ip","http:///file_proxy/thumbnail/402852","48","add","chars_lex, chars_plu, props_radioset_001, sets_x925_cave_007","no_c",,,"113333","rev","Layout","Maria Polishko","","","","ip",,,"113332","wtg","113334","wtg","Shot","ep025seq06","LEX&PLU",
"33698","ep025seq06sh06","ip","http:///file_proxy/thumbnail/402920","49","add","chars_lex, props_radioset_001, sets_x925_cave_007c","no_c",,,"113336","rev","Layout","Maria Polishko","","","","fin",,,"113335","wtg","113337","wtg","Shot","ep025seq06","LEX&PLU",
"33699","ep025seq06sh07","ip","http:///file_proxy/thumbnail/403597","51","add","chars_lex, chars_plu, props_radioset_001, sets_x925_cave_009","no_c",,,"113339","rev","Layout","Maria Polishko","","","","ip",,,"113338","wtg","113340","wtg","Shot","ep025seq06","LEX&PLU",
"33700","ep025seq06sh08","ip","http:///file_proxy/thumbnail/403624","28","add","chars_lex, props_radioset_001, sets_x925_cave_007c","no_c",,,"113342","rev","Layout","Maria Polishko","","","","fin",,,"113341","wtg","113343","wtg","Shot","ep025seq06","LEX&PLU",
"33701","ep025seq06sh09","ip","http:///file_proxy/thumbnail/403671","67","add","chars_lex, props_radioset_001, sets_x925_cave_007","no_c",,,"113345","rev","Layout","Maria Polishko","","","","fin",,,"113344","wtg","113346","wtg","Shot","ep025seq06","LEX&PLU",
"33702","ep025seq06sh10","ip","http:///file_proxy/thumbnail/403747","61","add","chars_lex, chars_mark, chars_plu, props_radioset_001, props_stick_002, sets_x925_mountain_012","no_c",,,"113348","rev","Layout","Maria Polishko","","","","ip",,,"113347","wtg","113349","wtg","Shot","ep025seq06","LEX&PLU",
