,,,,,,,,"Master BG","Master BG","Layout","Layout","Layout","Layout","Layout","Layout","Layout",,"Import BG","Import BG","Animation","Animation","FX","FX",,,,
"31161","ep017seq02sh11","ip","http:///file_proxy/thumbnail/356530","72","add","chars_cilya_chikens, props_ helm_003, props_basket_001, props_book_004, sets_car_019","no_c","97555","wtg","97552","fin","Layout","Anastasia Kulikova","","","fin","fin","97554","wtg","97551","fin","97553","rdy","Shot","ep017seq02","LEX&PLU",
"31162","ep017seq02sh12","ip","http:///file_proxy/thumbnail/357301","19","маска","chars_cilya_chikens, chars_lex, props_book_004, sets_car_057","no_c","97560","wtg","97557","fin","Layout","Anastasia Kulikova","","","fin","fin","97559","wtg","97556","fin","97558","rdy","Shot","ep017seq02","LEX&PLU",
"31163","ep017seq02sh13","ip","http:///file_proxy/thumbnail/367003","83","add","chars_cilya_chikens, props_ helm_003, props_basket_001, props_book_004, sets_car_019","no_c","97565","wtg","97562","fin","Layout","Anastasia Kulikova","","","fin","fin","97564","wtg","97561","fin","97563","rdy","Shot","ep017seq02","LEX&PLU",
"31164","ep017seq02sh14","ip","http:///file_proxy/thumbnail/373955","30","сделать горение и мигание кнопки!!!","sets_car_057","no_c","97570","wtg","97567","fin","Layout","Anastasia Kulikova","","","fin","fin","97569","wtg","97566","omt","97568","fin","Shot","ep017seq02","LEX&PLU",
"31165","ep017seq02sh15","ip","http:///file_proxy/thumbnail/349584","85","","chars_cilya_chikens, props_ helm_003, props_basket_001, props_book_004, props_chair_001, sets_car_019","no_c","97575","wtg","97572","fin","Layout","Anastasia Kulikova","","","fin","ip","97574","wtg","97571","fin","97573","wtg","Shot","ep017seq02","LEX&PLU",
"31166","ep017seq02sh16","ip","http:///file_proxy/thumbnail/343795","38","нет кресла вида снизу","chars_cilya_chikens, props_chair_001, sets_car_058","no_c","97580","wtg","97577","fin","Layout","Anastasia Kulikova","","","fin","ip","97579","wtg","97576","fin","97578","wtg","Shot","ep017seq02","LEX&PLU",
"31167","ep017seq02sh17","ip","http:///file_proxy/thumbnail/344360","122","add","props_basket_001, sets_car_059","no_c","97585","wtg","97582","fin","Layout","Anastasia Kulikova","","","fin","fin","97584","wtg","97581","fin","97583","wtg","Shot","ep017seq02","LEX&PLU",
"31168","ep017seq02sh18","ip","http:///file_proxy/thumbnail/366153","68","add","sets_car_067","no_c","97590","wtg","97587","fin","Layout","Anastasia Kulikova","","","fin","fin","97589","wtg","97586","omt","97588","fin","Shot","ep017seq02","LEX&PLU",
"31169","ep017seq02sh19","ip","http:///file_proxy/thumbnail/351490","32","add","props_basket_001, sets_car_059","no_c","97595","wtg","97592","fin","Layout","Anastasia Kulikova","","","fin","fin","97594","wtg","97591","fin","97593","rdy","Shot","ep017seq02","LEX&PLU",
"31170","ep017seq02sh20","ip","http:///file_proxy/thumbnail/351546","30","add","props_basket_001, sets_car_060","no_c","97600","wtg","97597","fin","Layout","Anastasia Kulikova","","","fin","fin","97599","wtg","97596","fin","97598","rdy","Shot","ep017seq02","LEX&PLU",
"31171","ep017seq02sh21","ip","http:///file_proxy/thumbnail/351564","35","add","props_basket_001, sets_car_060","no_c","97605","wtg","97602","fin","Layout","Anastasia Kulikova","","","fin","fin","97604","wtg","97601","fin","97603","rdy","Shot","ep017seq02","LEX&PLU",
"31172","ep017seq02sh22","ip","http:///file_proxy/thumbnail/352325","44","add","sets_car_059","no_c","97610","wtg","97607","fin","Layout","Anastasia Kulikova","","","fin","fin","97609","wtg","97606","fin","97608","rdy","Shot","ep017seq02","LEX&PLU",
"31173","ep017seq03sh01","ip","http:///file_proxy/thumbnail/328110","45","add","sets_home_ext_008","no_c","97615","wtg","97612","fin","Layout","Anastasia Kulikova","","","fin","fin","97614","wtg","97611","omt","97613","wtg","Shot","ep017seq03","LEX&PLU",
"31174","ep017seq03sh02","ip","http:///file_proxy/thumbnail/362184","99","add","props_ cloth_002, props_pillow_002, sets_home_047","no_c","97620","wtg","97617","fin","Layout","Anastasia Kulikova","","","fin","fin","97619","wtg","97616","fin","97618","rdy","Shot","ep017seq03","LEX&PLU",
"31175","ep017seq03sh03","ip","http:///file_proxy/thumbnail/360069","89","add","props_ cloth_002, sets_home_047","no_c","97625","wtg","97622","fin","Layout","Anastasia Kulikova","","","fin","fin","97624","wtg","97621","fin","97623","rdy","Shot","ep017seq03","LEX&PLU",
"31176","ep017seq03sh04","ip","http:///file_proxy/thumbnail/370476","36","","sets_home_047","no_c","97630","wtg","97627","fin","Layout","Anastasia Kulikova","","","fin","fin","97629","wtg","97626","fin","97628","rdy","Shot","ep017seq03","LEX&PLU",
"31177","ep017seq03sh05","ip","http:///file_proxy/thumbnail/373208","200","","props_ cloth_002, sets_home_048","no_c","97635","wtg","97632","fin","Layout","Anastasia Kulikova","","","fin","fin","97634","wtg","97631","fin","97633","rdy","Shot","ep017seq03","LEX&PLU",
"31178","ep017seq03sh06","ip","http:///file_proxy/thumbnail/357053","60","add","props_ aquarium_001, props_ doors_004, sets_home_049","no_c","97640","wtg","97637","fin","Layout","Anastasia Kulikova","","","fin","fin","97639","wtg","97636","fin","97638","rdy","Shot","ep017seq03","LEX&PLU",
"31179","ep017seq03sh07","ip","http:///file_proxy/thumbnail/362188","118","add","props_ aquarium_001, props_ doors_004, sets_home_049, sets_home_050","no_c","97645","wtg","97642","fin","Layout","Anastasia Kulikova","","","fin","fin","97644","wtg","97641","fin","97643","fin","Shot","ep017seq03","LEX&PLU",
"31180","ep017seq03sh08","ip","http:///file_proxy/thumbnail/360124","39","add","props_ aquarium_001, sets_home_051","no_c","97650","wtg","97647","fin","Layout","Anastasia Kulikova","","","fin","fin","97649","wtg","97646","fin","97648","rdy","Shot","ep017seq03","LEX&PLU",
"31181","ep017seq03sh09","ip","http:///file_proxy/thumbnail/369291","84","в графине заменить сок на воду","props_lemonade_002, sets_home_052","no_c","97655","wtg","97652","fin","Layout","Anastasia Kulikova","","","fin","fin","97654","wtg","97651","fin","97653","rdy","Shot","ep017seq03","LEX&PLU",
"31182","ep017seq03sh10","ip","http:///file_proxy/thumbnail/369645","134","add","sets_home_053","no_c","97660","wtg","97657","fin","Layout","Anastasia Kulikova","","","fin","fin","97659","wtg","97656","fin","97658","rdy","Shot","ep017seq03","LEX&PLU",
"31183","ep017seq03sh11","ip","http:///file_proxy/thumbnail/373231","124","коврик Триши","props_mat_001, sets_home_053","no_c","97665","wtg","97662","fin","Layout","Anastasia Kulikova","","","fin","fin","97664","wtg","97661","fin","97663","rdy","Shot","ep017seq03","LEX&PLU",
"31184","ep017seq03sh12","ip","http:///file_proxy/thumbnail/362321","61","add","sets_home_053b","no_c","97670","wtg","97667","fin","Layout","Anastasia Kulikova","","","fin","fin","97669","wtg","97666","fin","97668","rdy","Shot","ep017seq03","LEX&PLU",
"31185","ep017seq03sh13","ip","http:///file_proxy/thumbnail/374690","60","add","props_ aquarium_001, sets_home_054","no_c","97675","wtg","97672","fin","Layout","Anastasia Kulikova","","","fin","fin","97674","wtg","97671","fin","97673","rdy","Shot","ep017seq03","LEX&PLU",
"31186","ep017seq03sh14","ip","http:///file_proxy/thumbnail/353947","36","add","props_ aquarium_001, sets_home_054","no_c","97680","wtg","97677","fin","Layout","Anastasia Kulikova","","","fin","fin","97679","wtg","97676","omt","97678","wtg","Shot","ep017seq03","LEX&PLU",
"31187","ep017seq03sh15","ip","http:///file_proxy/thumbnail/361969","247","add","props_ aquarium_001, sets_home_047","no_c","97685","wtg","97682","fin","Layout","Anastasia Kulikova","","","fin","fin","97684","wtg","97681","fin","97683","rdy","Shot","ep017seq03","LEX&PLU",
"31188","ep017seq03sh16","ip","http:///file_proxy/thumbnail/356975","187","add","props_mat_001, sets_home_053","no_c","97690","wtg","97687","fin","Layout","Anastasia Kulikova","","","fin","fin","97689","wtg","97686","fin","97688","rdy","Shot","ep017seq03","LEX&PLU",
"31189","ep017seq03sh17","ip","http:///file_proxy/thumbnail/366047","221","add","props_ aquarium_001, sets_home_047","no_c","97695","wtg","97692","fin","Layout","Anastasia Kulikova","","","fin","fin","97694","wtg","97691","fin","97693","rdy","Shot","ep017seq03","LEX&PLU",
"31190","ep017seq03sh18","ip","http:///file_proxy/thumbnail/375268","326","add","props_ aquarium_001, props_mat_001, sets_home_048","no_c","97700","wtg","97697","fin","Layout","Anastasia Kulikova","","","fin","fin","97699","wtg","97696","fin","97698","rdy","Shot","ep017seq03","LEX&PLU",
"31191","ep017seq04sh01","ip","http:///file_proxy/thumbnail/356996","34","add","sets_car_019, sets_garage_ext_059","no_c","97705","wtg","97702","fin","Layout","Anastasia Kulikova","","","fin","fin","97704","wtg","97701","fin","97703","rdy","Shot","ep017seq04","LEX&PLU",
"31192","ep017seq04sh02","ip","http:///file_proxy/thumbnail/369816","63","add","sets_car_067","no_c","97710","wtg","97707","fin","Layout","Anastasia Kulikova","","","fin","fin","97709","wtg","97706","fin","97708","fin","Shot","ep017seq04","LEX&PLU",
"31193","ep017seq04sh03","ip","http:///file_proxy/thumbnail/353399","35","add","sets_car_019, sets_garage_ext_059","no_c","97715","wtg","97712","fin","Layout","Anastasia Kulikova","","","fin","fin","97714","wtg","97711","fin","97713","rdy","Shot","ep017seq04","LEX&PLU",
"31194","ep017seq04sh04","ip","http:///file_proxy/thumbnail/303868","27","add","sets_car_011","no_c","97720","wtg","97717","fin","Layout","Nataliya Silich","","","fin","fin","97719","wtg","97716","fin","97718","rdy","Shot","ep017seq04","LEX&PLU",
"31195","ep017seq04sh05","ip","http:///file_proxy/thumbnail/353011","62","","props_transformer_car_001, sets_garage_ext_058","no_c","97725","wtg","97722","fin","Layout","Anastasia Kulikova","","","fin","fin","97724","wtg","97721","fin","97723","rdy","Shot","ep017seq04","LEX&PLU",
"31196","ep017seq05sh01","ip","http:///file_proxy/thumbnail/343516","53","add","props_ aquarium_001, props_guitar_001, sets_home_057","no_c","97730","wtg","97727","fin","Layout","Natalya Grigorieva","","","fin","fin","97729","wtg","97726","fin","97728","rdy","Shot","ep017seq05","LEX&PLU",
"31197","ep017seq05sh02","ip","http:///file_proxy/thumbnail/359619","71","add","props_ aquarium_001, props_hand_bandage_001, sets_home_055","no_c","97735","wtg","97732","fin","Layout","Natalya Grigorieva","","","fin","fin","97734","wtg","97731","fin","97733","rdy","Shot","ep017seq05","LEX&PLU",
"31198","ep017seq05sh03","ip","http:///file_proxy/thumbnail/356611","27","add","props_hand_bandage_001, sets_home_055","no_c","97740","wtg","97737","fin","Layout","Natalya Grigorieva","","","fin","fin","97739","wtg","97736","fin","97738","rdy","Shot","ep017seq05","LEX&PLU",
"31199","ep017seq05sh04","ip","http:///file_proxy/thumbnail/356634","73","add","props_hand_bandage_001, sets_home_055","no_c","97745","wtg","97742","fin","Layout","Natalya Grigorieva","","","fin","fin","97744","wtg","97741","fin","97743","rdy","Shot","ep017seq05","LEX&PLU",
"31200","ep017seq05sh05","ip","http:///file_proxy/thumbnail/352450","42","add","props_guitar_001, sets_home_056","no_c","97750","wtg","97747","fin","Layout","Natalya Grigorieva","","","fin","fin","97749","wtg","97746","fin","97748","rdy","Shot","ep017seq05","LEX&PLU",
"31201","ep017seq05sh06","ip","http:///file_proxy/thumbnail/374836","99","add","props_ aquarium_001, props_guitar_001, props_guitar_amplifier_001, props_hand_bandage_001, sets_home_057","no_c","97755","wtg","97752","fin","Layout","Natalya Grigorieva","","","fin","fin","97754","wtg","97751","fin","97753","fin","Shot","ep017seq05","LEX&PLU",
"31202","ep017seq05sh07","ip","http:///file_proxy/thumbnail/361764","47","add","props_guitar_001, props_guitar_amplifier_001, props_hand_bandage_001, sets_home_058","no_c","97760","wtg","97757","fin","Layout","Natalya Grigorieva","","","fin","fin","97759","wtg","97756","fin","97758","rdy","Shot","ep017seq05","LEX&PLU",
"31203","ep017seq05sh08","ip","http:///file_proxy/thumbnail/365550","85","add","props_guitar_001, sets_home_058","no_c","97765","wtg","97762","fin","Layout","Natalya Grigorieva","","","fin","fin","97764","wtg","97761","fin","97763","rdy","Shot","ep017seq05","LEX&PLU",
"31204","ep017seq05sh09","ip","http:///file_proxy/thumbnail/358070","41","add","props_ aquarium_001, sets_home_059","no_c","97770","wtg","97767","fin","Layout","Natalya Grigorieva","","","fin","fin","97769","wtg","97766","fin","97768","rdy","Shot","ep017seq05","LEX&PLU",
"31205","ep017seq05sh10","ip","http:///file_proxy/thumbnail/359611","28","add","props_guitar_001, sets_home_058","no_c","97775","wtg","97772","fin","Layout","Natalya Grigorieva","","","fin","fin","97774","wtg","97771","fin","97773","rdy","Shot","ep017seq05","LEX&PLU",
"31206","ep017seq05sh11","ip","http:///file_proxy/thumbnail/361845","47","add","props_guitar_001, props_guitar_amplifier_001, props_hand_bandage_001, sets_home_058","no_c","97780","wtg","97777","fin","Layout","Natalya Grigorieva","","","fin","fin","97779","wtg","97776","fin","97778","rdy","Shot","ep017seq05","LEX&PLU",
"31207","ep017seq05sh12","ip","http:///file_proxy/thumbnail/358806","47","add","props_ aquarium_001, sets_home_059","no_c","97785","wtg","97782","fin","Layout","Natalya Grigorieva","","","fin","fin","97784","wtg","97781","fin","97783","rdy","Shot","ep017seq05","LEX&PLU",
"31208","ep017seq05sh13","ip","http:///file_proxy/thumbnail/362050","104","add","props_ aquarium_001, props_guitar_001, props_guitar_amplifier_001, props_hand_bandage_001, sets_home_057","no_c","97790","wtg","97787","fin","Layout","Natalya Grigorieva","","","fin","fin","97789","wtg","97786","fin","97788","rdy","Shot","ep017seq05","LEX&PLU",
"31209","ep017seq06sh01","ip","http:///file_proxy/thumbnail/365335","64","add","sets_car_061","no_c","97795","wtg","97792","fin","Layout","Natalya Grigorieva","","","fin","fin","97794","wtg","97791","omt","97793","fin","Shot","ep017seq06","LEX&PLU",
"31210","ep017seq06sh02","ip","http:///file_proxy/thumbnail/374809","77","радар берем из car 61","sets_car_018a","no_c","97800","wtg","97797","fin","Layout","Natalya Grigorieva","","","fin","fin","97799","wtg","97796","fin","97798","fin","Shot","ep017seq06","LEX&PLU",
"31211","ep017seq06sh03","ip","http:///file_proxy/thumbnail/365356","40","add","sets_car_061","no_c","97805","wtg","97802","fin","Layout","Natalya Grigorieva","","","fin","fin","97804","wtg","97801","omt","97803","fin","Shot","ep017seq06","LEX&PLU",
"31212","ep017seq06sh04","ip","http:///file_proxy/thumbnail/355610","34","add","props_transformer_car_001, sets_space_032","no_c","97810","wtg","97807","fin","Layout","Natalya Grigorieva","","","fin","fin","97809","wtg","97806","fin","97808","rdy","Shot","ep017seq06","LEX&PLU",
"31213","ep017seq06sh05","ip","http:///file_proxy/thumbnail/326119","37","Нужны светящиеся анимированные звезды","sets_space_033","no_c","97815","wtg","97812","fin","Layout","Natalya Grigorieva","","","fin","fin","97814","wtg","97811","omt","97813","wtg","Shot","ep017seq06","LEX&PLU",
"31214","ep017seq06sh06","ip","http:///file_proxy/thumbnail/365890","104","глаза Цили","chars_cilya_chikens, props_ helm_003, props_book_004, props_chair_001, sets_blackhole_012, sets_car_019","no_c","97820","wtg","97817","fin","Layout","Natalya Grigorieva","","","fin","ip","97819","wtg","97816","fin","97818","rdy","Shot","ep017seq06","LEX&PLU",
"31215","ep017seq06sh07","ip","http:///file_proxy/thumbnail/355724","58","add","sets_blackhole_012, sets_car_019","no_c","97825","wtg","97822","fin","Layout","Natalya Grigorieva","","","fin","fin","97824","wtg","97821","fin","97823","rdy","Shot","ep017seq06","LEX&PLU",
"31216","ep017seq06sh08","ip","http:///file_proxy/thumbnail/357514","52","add","sets_blackhole_012, sets_car_072","no_c","97830","wtg","97827","fin","Layout","Natalya Grigorieva","","","fin","fin","97829","wtg","97826","fin","97828","rdy","Shot","ep017seq06","LEX&PLU",
"31217","ep017seq06sh09","ip","http:///file_proxy/thumbnail/357518","54","add","sets_blackhole_012, sets_car_019","no_c","97835","wtg","97832","fin","Layout","Natalya Grigorieva","","","fin","fin","97834","wtg","97831","fin","97833","rdy","Shot","ep017seq06","LEX&PLU",
"31218","ep017seq06sh10","ip","http:///file_proxy/thumbnail/374108","154","add","chars_cilya_chikens, props_ helm_003, props_book_004, props_chair_001, sets_blackhole_013","no_c","97840","wtg","97837","fin","Layout","Natalya Grigorieva","","","fin","ip","97839","wtg","97836","fin","97838","fin","Shot","ep017seq06","LEX&PLU",
"31219","ep017seq06sh11","ip","http:///file_proxy/thumbnail/369857","111","add","sets_blackhole_012, sets_car_016e","no_c","97845","wtg","97842","fin","Layout","Natalya Grigorieva","","","fin","fin","97844","wtg","97841","fin","97843","rdy","Shot","ep017seq06","LEX&PLU",
"31220","ep017seq06sh12","ip","http:///file_proxy/thumbnail/373418","119","add","sets_book_003","no_c","97850","wtg","97847","fin","Layout","Natalya Grigorieva","","","fin","fin","97849","wtg","97846","fin","97848","rdy","Shot","ep017seq06","LEX&PLU",
"31221","ep017seq06sh13","ip","http:///file_proxy/thumbnail/369717","75","add","sets_blackhole_012, sets_car_019","no_c","97855","wtg","97852","fin","Layout","Natalya Grigorieva","","","fin","fin","97854","wtg","97851","fin","97853","rdy","Shot","ep017seq06","LEX&PLU",
"31222","ep017seq06sh14","ip","http:///file_proxy/thumbnail/369444","89","","props_ arbalest_001, sets_blackhole_012","no_c","97860","wtg","97857","fin","Layout","Roman Grechanovskiy","","","fin","fin","97859","wtg","97856","fin","97858","rdy","Shot","ep017seq06","LEX&PLU",
"31223","ep017seq06sh15","ip","http:///file_proxy/thumbnail/343540","54","add","sets_space_032","no_c","97865","wtg","97862","fin","Layout","Roman Grechanovskiy","","","fin","fin","97864","wtg","97861","fin","97863","rdy","Shot","ep017seq06","LEX&PLU",
"31224","ep017seq06sh16","ip","http:///file_proxy/thumbnail/343548","42","add","props_ arbalest_001, sets_space_032","no_c","97870","wtg","97867","fin","Layout","Roman Grechanovskiy","","","fin","fin","97869","wtg","97866","fin","97868","rdy","Shot","ep017seq06","LEX&PLU",
"31225","ep017seq06sh17","ip","http:///file_proxy/thumbnail/349671","108","add","props_ arbalest_001, sets_space_032","no_c","97875","wtg","97872","fin","Layout","Roman Grechanovskiy","","","fin","fin","97874","wtg","97871","fin","97873","rdy","Shot","ep017seq06","LEX&PLU",
