,,,,,,"Art","Art",,,,,,,,,,
"4224","chars_boris","fin","Борис 1 день","http:///file_proxy/thumbnail/295170","","86822","fin","chars","chars_supporting","ep008seq04sh08, ep011seq06sh05, ep011seq06sh07, ep011seq06sh09, ep011seq16sh03, ep011seq16sh05, ep011seq16sh08, ep011seq16sh09, ep011seq16sh10, ep012seq11sh13, ep012seq11sh18, ep018seq02sh04, ep018seq02sh05, ep018seq02sh07, ep018seq02sh09, ep018seq02sh10, ep018seq03sh02, ep018seq05sh01, ep018seq10sh01, ep018seq14sh02, ep018seq14sh04, ep018seq14sh06, ep019seq04sh01, ep019seq04sh04, ep019seq04sh07, ep019seq04sh14, ep019seq04sh15, ep019seq04sh16, ep019seq04sh18, ep019seq04sh21, ep019seq04sh23","Assets","ep008","","characters","2020/03/30 08:47:38 AM","LEX&PLU",
"6299","chars_brungilda","fin","Брунгильда","http:///file_proxy/thumbnail/343634","","104646","fin","chars","chars_supporting","ep020seq04sh01, ep020seq04sh02, ep020seq04sh03, ep020seq04sh04, ep020seq04sh05, ep020seq05sh02, ep020seq05sh05, ep020seq05sh07, ep020seq05sh11, ep020seq05sh16, ep020seq05sh17, ep020seq06sh05, ep020seq06sh06, ep020seq06sh08, ep020seq06sh10, ep020seq06sh13, ep020seq07sh02, ep020seq07sh03, ep020seq07sh04, ep020seq07sh05, ep020seq08sh02, ep020seq08sh04, ep020seq08sh05, ep020seq08sh06, ep020seq08sh08, ep020seq08sh21, ep020seq08sh23, ep020seq08sh25, ep020seq08sh26, ep023seq11sh07, ep023seq12sh01, ep023seq13sh08, ep023seq14sh01, ep023seq14sh03, ep023seq14sh05","Assets","ep020, ep023","","characters","2020/11/27 10:27:54 AM","LEX&PLU",
"4809","chars_chicken_001","fin","курицы-любительницы шопинга","http:///file_proxy/thumbnail/281908","","90992","fin","chars","chars_crowd","ep009seq05sh01, ep009seq05sh02, ep009seq05sh04, ep009seq05sh05, ep009seq06sh05, ep009seq06sh06, ep009seq06sh08, ep009seq12sh02, ep009seq12sh04, ep009seq13sh01, ep009seq13sh02, ep009seq13sh03, ep009seq13sh04, ep009seq13sh05, ep009seq14sh04, ep009seq14sh05, ep009seq14sh06, ep009seq14sh07, ep009seq14sh08, ep009seq14sh09, ep009seq14sh10, ep015seq02sh09, ep015seq09sh17, ep015seq09sh18, ep015seq09sh26, ep016seq08sh03, ep018seq01sh16, ep018seq01sh18, ep018seq14sh02, ep018seq14sh04, ep018seq14sh06, ep019seq07sh10, ep019seq07sh14, ep023seq11sh07, ep023seq13sh08, ep023seq14sh03, ep023seq14sh04","Assets","ep009, ep018, ep021","3 - difficult","characters","2020/06/12 06:32:56 PM","LEX&PLU",
"5601","chars_chicken_002","fin","курица в зеленом худи","http:///file_proxy/thumbnail/306980","","97053","fin","chars","chars_supporting","ep016seq03sh26, ep016seq03sh33, ep016seq08sh01, ep016seq08sh02, ep016seq08sh03","Assets","ep016","","characters","2020/09/07 12:09:14 PM","LEX&PLU",
"7884","chars_chicken_003","wtg","курица на подушке","","","114755","rdy","chars","chars_supporting","ep026seq02sh19, ep026seq02sh20, ep026seq02sh21, ep026seq02sh25, ep026seq02sh26","Assets","ep026","","characters","2021/03/16 01:26:02 PM","LEX&PLU",
"4239","chars_chub","fin","петух 2 дня","http:///file_proxy/thumbnail/295180","","86837","fin","chars","chars_supporting","ep008seq08sh02","Assets","ep008","","characters","2020/03/30 09:29:23 AM","LEX&PLU",
"4233","chars_cilya_chikens","fin","курица 0, 5 дня","http:///file_proxy/thumbnail/295199","","86831","fin","chars","chars_supporting","ep008seq06sh06, ep010seq04sh03, ep015seq09sh17, ep015seq09sh18, ep015seq09sh26, ep017seq01sh04, ep017seq01sh05, ep017seq01sh06, ep017seq01sh07, ep017seq01sh08, ep017seq01sh09, ep017seq01sh10, ep017seq01sh11, ep017seq01sh12, ep017seq01sh13, ep017seq01sh14, ep017seq01sh15, ep017seq01sh16, ep017seq01sh17, ep017seq01sh19, ep017seq01sh20, ep017seq02sh02, ep017seq02sh03, ep017seq02sh04, ep017seq02sh07, ep017seq02sh09, ep017seq02sh10, ep017seq02sh11, ep017seq02sh12, ep017seq02sh13, ep017seq02sh15, ep017seq02sh16, ep017seq06sh06, ep017seq06sh10, ep017seq06sh18, ep017seq06sh23, ep017seq06sh24, ep017seq08sh01, ep017seq08sh02, ep017seq08sh03, ep017seq08sh05, ep017seq08sh12, ep017seq08sh14, ep017seq08sh15, ep017seq08sh16, ep017seq08sh18, ep017seq09sh13, ep017seq10sh01, ep017seq10sh02, ep017seq10sh04, ep017seq10sh05, ep017seq10sh06, ep017seq10sh07, ep017seq11sh03, ep017seq11sh04, ep017seq11sh05, ep017seq11sh06, ep017seq11sh07, ep017seq11sh08, ep017seq11sh09, ep017seq11sh10, ep017seq11sh11, ep017seq11sh12, ep017seq11sh13, ep017seq11sh14, ep017seq12sh01, ep018seq01sh16, ep018seq01sh18, ep019seq07sh05, ep023seq13sh02","Assets","ep008, ep018","","characters","2020/03/30 09:07:32 AM","LEX&PLU",
"5449","chars_cipoliy","fin","Циполий","http:///file_proxy/thumbnail/298717","","96907","fin","chars","chars_supporting","ep015seq03sh01, ep015seq03sh02, ep015seq03sh03, ep015seq03sh04, ep015seq03sh05, ep015seq03sh06, ep015seq03sh07, ep015seq03sh09, ep015seq04sh02, ep015seq04sh03, ep015seq09sh05, ep015seq09sh06, ep015seq09sh10, ep015seq09sh12, ep015seq09sh13, ep015seq09sh14, ep015seq09sh16, ep015seq09sh18, ep015seq09sh19, ep015seq09sh21, ep015seq09sh23, ep015seq09sh26","Assets","ep015","3 - difficult","characters","2020/09/01 04:11:31 PM","LEX&PLU",
"5429","chars_crispy","wtg","криспи","http:///file_proxy/thumbnail/295190","","96225","rdy","chars","chars_leads","ep013seq07sh14, ep016seq09sh05, ep016seq09sh07, ep018seq06sh03, ep018seq06sh04, ep018seq06sh05, ep018seq07sh03, ep018seq08sh04, ep019seq01sh17, ep021seq13sh04, ep024seq01sh02, ep024seq01sh06, ep024seq01sh08, ep024seq01sh10, ep024seq01sh17, ep024seq01sh18, ep024seq02sh06, ep024seq02sh08, ep024seq02sh11, ep024seq02sh12, ep024seq02sh13, ep024seq02sh16, ep024seq02sh17, ep024seq03sh05, ep024seq03sh06, ep024seq05sh01, ep024seq05sh02, ep024seq05sh03, ep024seq05sh04, ep024seq05sh05, ep024seq05sh06, ep024seq06sh10, ep024seq07sh03, ep024seq07sh04, ep024seq07sh05, ep024seq08sh01, ep024seq08sh03, ep024seq08sh11, ep024seq09sh08, ep024seq09sh18, ep024seq11sh01, ep024seq11sh03, ep024seq11sh04, ep024seq11sh07, ep024seq11sh12, ep024seq11sh15, ep025seq01sh04, ep025seq01sh05, ep025seq01sh07, ep025seq01sh13, ep025seq01sh14, ep025seq01sh19, ep025seq11sh03, ep025seq11sh05, ep025seq11sh07, ep025seq11sh08, ep025seq11sh10, ep025seq11sh14, ep025seq11sh16, ep026seq01sh04, ep026seq01sh05, ep026seq01sh06, ep026seq01sh09, ep026seq01sh12, ep026seq01sh13, ep026seq01sh15, ep026seq01sh17, ep026seq02sh04, ep026seq02sh05, ep026seq02sh07, ep026seq02sh12, ep026seq02sh17, ep026seq02sh20, ep026seq02sh22, ep026seq02sh27, ep026seq02sh28, ep026seq03sh03, ep026seq03sh07, ep026seq03sh09, ep026seq03sh12, ep026seq03sh14, ep026seq03sh18, ep026seq04sh02, ep026seq04sh12, ep026seq05sh02, ep026seq05sh07, ep026seq05sh13, ep026seq05sh14, ep026seq05sh17, ep026seq05sh18, ep026seq06sh01, ep026seq06sh02, ep026seq06sh03, ep026seq06sh05, ep026seq06sh06, ep026seq06sh08, ep026seq06sh11, ep026seq07sh01, ep026seq07sh02, ep026seq07sh04, ep026seq07sh06, ep026seq07sh16, ep026seq08sh07, ep026seq08sh08, ep026seq08sh16, ep026seq08sh17, ep026seq09sh01, ep026seq09sh02, ep026seq09sh04, ep026seq09sh08, ep026seq09sh09, ep026seq11sh01, ep026seq11sh02, ep026seq11sh03, ep026seq11sh04","Assets","","","characters","2020/08/26 03:54:52 PM","LEX&PLU",
"5165","chars_crowd_001","fin","очередь за трамплинами","http:///file_proxy/thumbnail/284910","группа, курицы","94256","fin","chars","chars_crowd","ep009seq14sh06, ep018seq05sh01, ep018seq10sh01, ep019seq07sh07, ep019seq07sh08, ep019seq07sh09, ep019seq07sh12, ep021seq01sh03, ep021seq01sh19, ep021seq01sh20, ep021seq01sh21, ep021seq04sh04, ep021seq04sh11, ep021seq04sh13, ep021seq04sh24, ep021seq04sh28, ep021seq04sh36","Assets","ep009, ep021","3 - difficult","characters","2020/07/22 11:44:13 AM","LEX&PLU",
"6534","chars_crowd_003","wtg","толпа на трибунах","","","106445","rdy","chars","chars_supporting","ep021seq02sh01, ep021seq11sh01, ep021seq11sh08, ep021seq11sh09, ep021seq12sh01","Assets","ep021","3 - difficult","characters","2020/12/16 03:41:48 PM","LEX&PLU",
"3708","chars_darco","ip","дарко","http:///file_proxy/thumbnail/218580","","82589","rdy","chars","chars_supporting","ep005seq02sh11, ep005seq02sh13, ep005seq02sh14, ep005seq02sh15, ep005seq03sh04, ep005seq03sh05, ep005seq03sh06, ep005seq04sh02, ep005seq04sh03, ep005seq06sh04, ep005seq06sh06, ep005seq06sh08, ep005seq07sh01, ep005seq07sh05, ep005seq08sh01, ep005seq08sh02, ep005seq08sh06, ep005seq08sh08, ep005seq08sh09, ep005seq09sh01, ep005seq09sh02, ep005seq09sh03, ep005seq09sh05, ep005seq09sh10, ep005seq09sh11, ep005seq10sh01, ep005seq10sh02, ep005seq10sh03, ep005seq10sh05, ep005seq11sh01, ep005seq11sh03, ep005seq11sh05, ep005seq11sh08, ep005seq11sh10, ep005seq12sh03, ep005seq12sh05, ep005seq12sh06, ep005seq12sh07, ep005seq12sh08, ep005seq13sh04, ep005seq13sh07, ep005seq13sh08, ep005seq13sh12, ep005seq13sh13, ep005seq13sh17, ep005seq14sh03, ep005seq14sh04, ep005seq14sh06, ep005seq15sh01, ep005seq15sh02, ep005seq15sh03, ep005seq16sh06, ep005seq16sh07, ep008seq03sh02, ep010seq03sh05, ep010seq04sh05, ep010seq04sh11, ep010seq05sh02, ep010seq05sh03, ep010seq05sh07, ep010seq12sh02, ep014seq02sh15, ep014seq02sh16, ep014seq02sh18, ep014seq02sh19, ep014seq03sh01, ep014seq04sh01, ep014seq04sh02, ep014seq04sh04, ep014seq04sh06, ep014seq07sh08, ep015seq04sh11, ep015seq07sh02, ep016seq03sh25, ep016seq03sh26, ep016seq03sh31, ep016seq03sh33, ep016seq08sh01, ep018seq01sh06, ep018seq01sh07, ep018seq01sh08, ep018seq01sh10, ep020seq02sh18, ep020seq02sh19, ep023seq02sh05, ep023seq02sh06, ep023seq02sh10, ep023seq02sh18, ep023seq02sh19, ep023seq02sh22, ep023seq02sh23, ep023seq02sh25, ep023seq02sh26, ep023seq03sh01, ep023seq03sh02, ep023seq03sh03, ep023seq03sh04, ep023seq03sh06, ep023seq03sh07, ep023seq03sh10, ep023seq04sh01, ep023seq04sh02, ep023seq04sh03, ep023seq04sh04, ep023seq04sh05, ep023seq04sh06, ep023seq04sh07, ep023seq04sh09, ep023seq04sh10, ep023seq04sh11, ep023seq04sh12, ep023seq04sh14, ep023seq04sh15, ep023seq04sh16, ep023seq04sh17, ep023seq04sh18, ep023seq04sh19, ep023seq04sh20, ep023seq04sh21, ep023seq04sh22, ep023seq05sh07, ep023seq06sh01, ep023seq06sh03, ep023seq06sh05, ep023seq07sh09, ep023seq07sh10, ep023seq07sh11, ep023seq08sh02, ep023seq08sh03, ep023seq08sh04, ep023seq08sh07, ep023seq08sh09, ep023seq08sh10, ep023seq08sh12, ep023seq08sh13, ep023seq08sh14, ep023seq08sh16, ep023seq08sh17, ep023seq08sh18, ep023seq09sh17, ep023seq09sh19, ep023seq10sh01, ep023seq10sh02, ep023seq10sh04, ep023seq10sh05, ep023seq10sh06, ep023seq10sh07, ep023seq10sh08, ep023seq11sh01, ep023seq11sh02, ep023seq11sh03, ep023seq11sh05, ep023seq11sh06, ep023seq12sh02, ep023seq13sh02, ep023seq13sh03, ep023seq13sh05, ep023seq13sh06, ep023seq13sh07, ep023seq14sh02, ep023seq14sh05, ep023seq14sh07, ep023seq14sh08, ep023seq14sh09, ep023seq14sh10, ep023seq15sh01, ep023seq15sh02, ep023seq15sh03, ep023seq15sh04, ep023seq15sh05, ep023seq16sh05, ep023seq16sh06","Assets","ep005, ep020","","characters","2020/02/13 08:19:16 AM","LEX&PLU",
"5053","chars_driver","wtg","водитель","http:///file_proxy/thumbnail/281992","","93122","fin","chars","chars_supporting","ep011seq03sh05, ep011seq04sh06","Assets","ep011","","characters","2020/07/16 09:44:00 AM","LEX&PLU",
"5765","chars_egg_001","fin","яйцо с ножками","http:///file_proxy/thumbnail/319570","","98325","fin","chars","chars_supporting","ep017seq09sh01, ep017seq09sh02, ep017seq09sh03, ep017seq09sh04, ep017seq09sh05, ep017seq09sh06, ep017seq09sh07, ep017seq09sh08, ep017seq09sh09, ep017seq09sh11, ep017seq09sh12, ep017seq09sh13, ep017seq10sh02, ep017seq11sh01","Assets","ep017","","characters","2020/10/02 02:14:06 PM","LEX&PLU",
"3397","chars_emil","fin","","http:///file_proxy/thumbnail/295172","","78653","fin","chars","chars_supporting","ep021seq01sh09","Assets","ep002, ep021","","characters","2019/08/16 05:40:26 PM","LEX&PLU",
"6268","chars_eric","fin","питон Эрик","http:///file_proxy/thumbnail/327089","","104602","fin","chars","chars_supporting","ep019seq05sh12, ep019seq05sh13, ep019seq05sh14","Assets","ep019","2 - standard","characters","2020/11/23 05:00:50 PM","LEX&PLU",
"4253","chars_fatlex","wtg","толстый Лекс","http:///file_proxy/thumbnail/295151","","86851","rdy","chars","chars_leads","","Assets","ep007","","characters","2020/03/30 04:31:45 PM","LEX&PLU",
"4254","chars_fatplu","wtg","толстый Плу","http:///file_proxy/thumbnail/295149","","86852","rdy","chars","chars_leads","","Assets","ep007","","characters","2020/03/30 04:32:24 PM","LEX&PLU",
"4220","chars_fil","fin","кот 1 день","http:///file_proxy/thumbnail/295176","","86818","fin","chars","chars_supporting","ep008seq03sh02, ep015seq04sh11, ep015seq09sh06","Assets","ep008","","characters","2020/03/30 08:38:30 AM","LEX&PLU",
"7883","chars_galla","wtg","свинка Галла","","","114754","rdy","chars","chars_supporting","ep026seq02sh02, ep026seq02sh03, ep026seq02sh04, ep026seq02sh06, ep026seq02sh07, ep026seq02sh08, ep026seq02sh11, ep026seq02sh12, ep026seq02sh13, ep026seq02sh17, ep026seq02sh20, ep026seq02sh22, ep026seq02sh25, ep026seq02sh26, ep026seq02sh27, ep026seq02sh29, ep026seq03sh01, ep026seq03sh02, ep026seq03sh04, ep026seq03sh07, ep026seq03sh08, ep026seq03sh10, ep026seq03sh11, ep026seq03sh12, ep026seq03sh13, ep026seq03sh14, ep026seq03sh17, ep026seq03sh19, ep026seq04sh01, ep026seq04sh02, ep026seq04sh08, ep026seq04sh10, ep026seq04sh11, ep026seq04sh12, ep026seq05sh01, ep026seq05sh02, ep026seq05sh03, ep026seq05sh05, ep026seq05sh07, ep026seq05sh09, ep026seq05sh13, ep026seq05sh16, ep026seq05sh17, ep026seq05sh18, ep026seq05sh22, ep026seq06sh01, ep026seq06sh03, ep026seq06sh05, ep026seq06sh06, ep026seq06sh07, ep026seq06sh08, ep026seq06sh10, ep026seq06sh11, ep026seq06sh13, ep026seq07sh01, ep026seq07sh02, ep026seq07sh03, ep026seq07sh04, ep026seq07sh06, ep026seq07sh07, ep026seq07sh09, ep026seq08sh06, ep026seq08sh08, ep026seq08sh10, ep026seq08sh15, ep026seq08sh16, ep026seq09sh01, ep026seq09sh02, ep026seq09sh03, ep026seq09sh04, ep026seq09sh05, ep026seq09sh09, ep026seq09sh10","Assets","ep026","","characters","2021/03/16 01:26:02 PM","LEX&PLU",
"4553","chars_gertruda","wtg","гертруда","http:///file_proxy/thumbnail/271079","","89803","fin","chars","chars_supporting","ep006seq02sh04, ep006seq02sh06, ep006seq02sh07, ep006seq02sh08, ep006seq02sh09, ep006seq02sh10, ep006seq02sh11, ep006seq02sh13, ep006seq02sh14, ep006seq02sh15, ep006seq02sh16, ep006seq02sh18, ep006seq02sh20, ep006seq02sh22, ep006seq03sh01, ep006seq03sh02, ep006seq03sh03, ep006seq03sh04, ep006seq03sh06, ep006seq03sh07, ep006seq03sh09, ep006seq03sh10, ep006seq03sh11, ep006seq03sh12, ep006seq03sh13, ep006seq03sh14, ep006seq03sh15, ep006seq03sh16, ep006seq03sh17, ep006seq03sh18, ep006seq03sh19, ep006seq03sh20, ep006seq03sh21, ep006seq03sh22, ep006seq03sh23, ep006seq05sh01, ep006seq05sh02, ep006seq05sh04, ep006seq05sh05, ep006seq05sh06, ep006seq05sh07, ep006seq05sh08, ep006seq05sh10, ep006seq05sh11, ep006seq06sh02, ep006seq06sh03, ep006seq06sh04, ep006seq06sh05, ep006seq06sh06, ep006seq06sh07, ep006seq06sh13, ep006seq06sh14, ep006seq06sh17a, ep006seq06sh17b, ep006seq06sh19, ep006seq08sh01, ep006seq08sh02, ep006seq08sh03, ep006seq08sh04, ep006seq08sh05, ep006seq08sh07, ep006seq08sh09, ep006seq08sh10, ep006seq08sh11, ep006seq08sh12, ep006seq08sh13, ep006seq08sh14, ep006seq08sh15, ep006seq08sh16, ep006seq08sh17, ep006seq10sh02, ep006seq10sh03, ep006seq10sh04, ep006seq10sh05, ep006seq10sh06, ep006seq10sh07, ep006seq11sh02, ep006seq11sh03, ep006seq12sh01, ep006seq12sh02, ep006seq12sh08, ep006seq12sh10, ep006seq12sh11, ep006seq12sh13, ep006seq12sh14","Assets","ep006","2 - standard","characters","2020/05/07 09:28:09 PM","LEX&PLU",
"3713","chars_glafira","wtg","глафира","http:///file_proxy/thumbnail/295161","","82594","fin","chars","chars_supporting","ep005seq06sh02, ep005seq07sh01, ep005seq09sh02, ep005seq09sh05, ep005seq11sh02, ep005seq11sh06, ep005seq14sh09, ep005seq15sh01","Assets","ep005","","characters","2020/02/13 08:59:41 AM","LEX&PLU",
"4252","chars_goose","fin","гусь","http:///file_proxy/thumbnail/365593","","86850","fin","chars","chars_supporting","ep019seq02sh01, ep019seq02sh02, ep019seq02sh03, ep019seq02sh04, ep019seq02sh05, ep019seq02sh06, ep019seq02sh07, ep019seq02sh08, ep019seq03sh04, ep019seq03sh05, ep019seq03sh06, ep019seq03sh07, ep019seq04sh03, ep019seq04sh05, ep019seq04sh06, ep019seq04sh09, ep019seq04sh10, ep019seq04sh11, ep019seq04sh22, ep019seq04sh24, ep019seq05sh01, ep019seq05sh02, ep019seq05sh04, ep019seq05sh10, ep019seq05sh11, ep019seq05sh17, ep019seq05sh26, ep019seq06sh02, ep019seq06sh05, ep019seq06sh07, ep019seq06sh08, ep019seq06sh09, ep019seq06sh10, ep019seq06sh11, ep019seq09sh01, ep019seq09sh02, ep019seq09sh04, ep019seq09sh05, ep019seq09sh07, ep019seq09sh08, ep019seq09sh09, ep019seq09sh11, ep019seq09sh12","Assets","ep007, ep019","","characters","2020/03/30 04:27:06 PM","LEX&PLU",
"5430","chars_greg","wtg","грег","http:///file_proxy/thumbnail/295191","","96226","rdy","chars","chars_leads","ep016seq09sh05, ep016seq09sh07, ep022seq01sh12, ep023seq05sh06, ep024seq11sh01, ep024seq11sh03, ep024seq11sh04, ep024seq11sh07, ep024seq11sh12, ep024seq11sh15, ep025seq01sh06, ep025seq01sh07, ep025seq01sh10, ep025seq11sh03, ep025seq11sh04, ep025seq11sh06, ep025seq11sh07, ep025seq11sh10, ep025seq11sh14, ep026seq11sh01","Assets","","","characters","2020/08/26 03:55:29 PM","LEX&PLU",
"5054","chars_greg_in_paper","wtg","Грег обернутый в бумагу","http:///file_proxy/thumbnail/281995","","93123","fin","chars","chars_leads","ep011seq09sh02, ep011seq09sh03, ep011seq09sh04, ep011seq09sh05, ep011seq09sh06, ep011seq11sh02, ep011seq11sh04","Assets","ep011","","characters","2020/07/16 09:44:00 AM","LEX&PLU",
"4767","chars_grover","wtg","Гровер","http:///file_proxy/thumbnail/272533","","90952","fin","chars","chars_supporting","ep010seq03sh01, ep010seq03sh02, ep010seq03sh03, ep010seq03sh05, ep010seq03sh07, ep010seq10sh01, ep010seq10sh02, ep010seq10sh03, ep010seq10sh04, ep010seq10sh08, ep010seq10sh09, ep010seq10sh10, ep010seq10sh11, ep010seq11sh02, ep010seq11sh03, ep010seq11sh04, ep010seq13sh01, ep010seq13sh02, ep010seq13sh03, ep010seq13sh04","Assets","ep010","","characters","2020/05/21 12:16:16 AM","LEX&PLU",
"5446","chars_ham","fin","Хэм","http:///file_proxy/thumbnail/305017","","96904","fin","chars","chars_supporting","ep015seq08sh14, ep015seq08sh17, ep015seq08sh18","Assets","ep015","2 - standard","characters","2020/09/01 03:44:13 PM","LEX&PLU",
"5428","chars_hedgehogs","fin","ежи","http:///file_proxy/thumbnail/295189","группа, ежи","96224","fin","chars","chars_crowd","","Assets","ep002","","characters","2020/08/26 03:52:57 PM","LEX&PLU",
